Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cibicidoides spp.	Spiroplectammina spectabilis	Unidentified benthic forams	Dentalina/Nodosaria spp.	Cibicidoides eocaenus	Ammovertellina sp.	Pleurostomella spp.	Nuttallides truempyi	Karreriella subglabra	Vulvulina spinosa	Subreophax sp.	Oridorsalis umbonatus	Gyroidinoides girardanus	Cibicidoides grimsdalei	Stilostomella lepidula	Siphonodosaria abyssorum	Globocassidulina sp.	Cribrostomoides spp.	Unilocular species	Pullenia subcarinata	Nuttallides umbonifera	Nonion havanensis	Eggerella spp.	Astrononion echolsi	Anomalinoides pseudogrosserugosus	Stilostomella subspinosa	Rhizammina sp.	Nodosarella spp.	Cyclammina spp.	Cibicidoides praemundulus	Anomalinoides spissiformis	Pyrulina spp.	Globocassidulina globosa	Buliminella carseyae	Bathysiphon spp.	Recurvoides sp.	Osangularia plummerae	Cibicidoides bradyi	Francesita advena	Cibicidoides havanensis	Chilostomella sp.	Anomalinoides semicribratus	Hippocrepinella sp.	Textularia spp.	Pullenia osloensis	Pullenia bulloides	Gyroidinoides spp.	Gyroidinoides soldanii	Epistominella exigua	Gyroidinoides lamarckianus	Glomospira gordialis	Cibicidoides pachyderma	Ammolagena clavata	Stilostomella rugosa	Martinottiella communis	Comment
  IR	                 	                 	                  	              	199	1219	A	 21	H	 8	  19.00	    195.6900	nannos   	Benthic Foraminifers                         	R              	M                 	                 	                            	                           	                        	                     	R                 	A                  	R                   	                     	C                	R             	F                    	R                       	C                      	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 23	H	CC	  23.00	    215.4300	nannos   	Benthic Foraminifers                         	T              	P                 	F                	F                           	R                          	                        	                     	                  	R                  	A                   	F                    	                 	              	                     	                        	                       	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 24	H	 4	 150.00	    221.0000	nannos   	Benthic Foraminifers                         	R              	P                 	                 	                            	F                          	F                       	R                    	F                 	                   	                    	                     	                 	              	                     	                        	                       	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 24	H	CC	  21.00	    224.8800	nannos   	Benthic Foraminifers                         	T              	P                 	                 	A                           	                           	                        	                     	                  	                   	                    	                     	                 	              	                     	                        	                       	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

  IR	                 	                 	                  	              	199	1219	A	 26	X	CC	  21.00	    238.0700	nannos   	Benthic Foraminifers                         	T              	P                 	A                	                            	                           	                        	                     	                  	                   	                    	                     	                 	              	                     	                        	                       	                      	                        	                    	                    	                  	                    	                      	                 	              	                   	                                 	                        	              	                	               	                         	                          	             	                        	                    	                	               	                     	                   	                 	                       	                 	                           	                   	               	                  	                  	                  	                      	                    	                          	                    	                       	                  	                    	                       	       

