Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma (dextral),Globigerina woodi,Globigerina decoraperta,Globigerina bulloides,Globigerina apertura,Neogloboquadrina cf. continuosa,Neogloboquadrina humerosa,"Neogloboquadrina sp. ""rounded""",Globorotalia cf. Gr. conomiozea,Globigerinoides ruber,Globorotalia inflata,Globorotalia scitula,Neogloboquadrina asanoi,Comment
  IR,                 ,                 ,N21               ,              ,167,1022,A,  7,H,CC,  13.00,     61.8000,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,F                ,C                                    ,                 ,                       ,A                    ,                    ,                               ,F                        ,A                             ,                               ,                     ,R                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  8,H,CC,  35.00,     71.6900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,A                                    ,                 ,                       ,A                    ,                    ,                               ,A                        ,A                             ,                               ,                     ,F                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A,  9,H,CC,  19.00,     80.9900,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,F                                    ,                 ,                       ,A                    ,                    ,                               ,                         ,                              ,                               ,                     ,A                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A, 10,H,CC,  20.00,     90.5200,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,F                                    ,                 ,                       ,A                    ,                    ,                               ,                         ,C                             ,                               ,                     ,R                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A, 11,H,CC,  10.00,     99.7400,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,F                                    ,                 ,                       ,A                    ,                    ,                               ,                         ,A                             ,                               ,                     ,                    ,R                   ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1022,A, 12,H,CC,   0.00,    109.3700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                ,A                                    ,                 ,                       ,A                    ,                    ,                               ,                         ,                              ,                               ,                     ,A                   ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 13,H,CC,  24.00,    119.1500,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,F                ,                                     ,                 ,C                      ,A                    ,                    ,                               ,                         ,                              ,                               ,R                    ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 14,H,CC,  21.00,    128.6300,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                ,                                     ,                 ,                       ,F                    ,                    ,                               ,                         ,                              ,                               ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 15,H,CC,  18.00,    137.9600,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,F                                    ,                 ,                       ,A                    ,R                   ,                               ,F                        ,R                             ,R                              ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 16,H,CC,  24.00,    147.5000,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,R                                    ,                 ,                       ,C                    ,R                   ,R                              ,R                        ,                              ,                               ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 17,H,CC,  19.00,    157.1000,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                ,R                                    ,                 ,                       ,F                    ,                    ,C                              ,                         ,                              ,                               ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1022,A, 18,H,CC,  28.00,    163.2600,Kennett  ,Planktonic Foraminifers                      ,F              ,M                 ,C                ,F                                    ,F                ,C                      ,C                    ,F                   ,                               ,                         ,                              ,                               ,                     ,                    ,                    ,                       ,from IR. Ch 16. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
