Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spiniger,Sphenolithus moriformis,Helicosphaera obliqua,Discoaster saipanensis,Discoaster nodifer,Discoaster deflandrei,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus solitus,Chiasmolithus expansus,Reticulofenestra umbilica,Bramletteius serraculoides,Zygrhablithus bijugatus,Discoaster strictus,Dictyococcites bisectus,Chiasmolithus oamaruensis,Reticulofenestra hillae,Isthmolithus recurvus,Discoaster tanii ornatus,Chiasmolithus altus,Discoaster tanii,Pentaster lisbonensis,Cyclicargolithus floridanus,Braarudosphaera bigelowii,Discoaster adamanteus,Micrantholithus entaster,Helicosphaera recta,Cyclicargolithus abisectus,Sphenolithus ciperoensis,Helicosphaera euphratis,Triquetrorhabdulus carinatus,Triquetrorhabdulus auritus,Reticulofenestra lockerii,Pontosphaera pachymorpha,Coccolithus miopelagicus,Micrantholithus pinguis,Micrantholithus flos,Dictyococcites scrippsae,Corannulus germanicus,Sphenolithus conicus,Discoaster trinidadensis,Triquetrorhabdulus milowii,Orthorhabdus serratus,Helicosphaera carteri,Coronocyclus nitescens,Sphenolithus heteromorphus,Sphenolithus abies,Pontosphaera multipora,Dictyococcites antarcticus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,D,  8,R,CC,  21.00,    217.6900,Shafik   ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,F                    ,                      ,                  ,F                    ,                     ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,A                      ,                         ,                       ,                     ,                        ,                   ,                ,                     ,C                          ,F                        ,                     ,                        ,                   ,C                         ,                        ,R                      ,F                           ,                          ,                         ,                        ,F                       ,                       ,                    ,                        ,R                    ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D,  9,R,CC,  14.00,    224.2600,Shafik   ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,F                    ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,C                      ,                         ,                       ,                     ,                        ,R                  ,                ,                     ,C                          ,F                        ,                     ,                        ,R                  ,C                         ,R                       ,R                      ,R                           ,                          ,R                        ,                        ,                        ,R                      ,R                   ,C                       ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 10,R,CC,  17.00,    233.4100,Shafik   ,Nannofossils                                 ,C              ,P                 ,                     ,                       ,F                    ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,C                      ,                         ,                       ,                     ,                        ,F                  ,                ,                     ,C                          ,                         ,                     ,                        ,                   ,C                         ,R                       ,R                      ,R                           ,R                         ,C                        ,F                       ,F                       ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,D, 11,R,CC,  11.00,    242.8000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                     ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,C                      ,                         ,                       ,                     ,                        ,F                  ,                ,                     ,F                          ,C                        ,                     ,                        ,                   ,C                         ,R                       ,                       ,C                           ,R                         ,R                        ,R                       ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,D, 12,R,CC,  18.00,    252.6800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,C                      ,                     ,                      ,                  ,                     ,F                    ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,C                      ,                         ,                       ,                     ,                        ,F                  ,                ,                     ,C                          ,F                        ,R                    ,F                       ,C                  ,                          ,F                       ,F                      ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,                  ,NP25          ,182,1126,D, 13,R,CC,  26.00,    261.7600,Ladner   ,Nannofossils                                 ,F              ,P                 ,                     ,                       ,                     ,                      ,                  ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,R                      ,                         ,                       ,                     ,                        ,R                  ,                ,                     ,R                          ,R                        ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,"Bad preservation, small amount of sediment examined"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,NP24              ,NP25          ,182,1126,D, 15,R,CC,  29.00,    281.1900,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                     ,                      ,                  ,                     ,C                    ,                    ,                     ,                      ,                         ,                          ,C                      ,                   ,F                      ,                         ,                       ,                     ,                        ,                   ,                ,                     ,                           ,F                        ,                     ,R                       ,R                  ,F                         ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,"Some 6 rayed discoasters, too overgrown to speciate"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Oligocene   ,NP24              ,NP25          ,182,1126,D, 16,R,CC,  38.00,    290.9800,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,F                      ,                     ,                      ,F                 ,                     ,                     ,                    ,                     ,                      ,                         ,                          ,                       ,                   ,C                      ,                         ,                       ,                     ,                        ,C                  ,                ,                     ,                           ,                         ,F                    ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Late Oligocene   ,NP23              ,NP24          ,182,1126,D, 18,R,CC,   0.00,    309.9000,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                     ,                      ,C                 ,                     ,F                    ,                    ,                     ,                      ,R                        ,                          ,C                      ,                   ,C                      ,                         ,                       ,                     ,F                       ,A                  ,                ,                     ,C                          ,R                        ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP22          ,182,1126,D, 19,R,CC,  11.00,    319.4100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,F                      ,                     ,                      ,                  ,                     ,C                    ,                    ,                     ,                      ,                         ,                          ,F                      ,                   ,C                      ,                         ,C                      ,                     ,                        ,C                  ,                ,F                    ,C                          ,F                        ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP21          ,182,1126,D, 20,R,CC,  20.00,    329.8900,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,F                      ,                     ,                      ,C                 ,                     ,F                    ,F                   ,                     ,                      ,F                        ,                          ,                       ,                   ,                       ,C                        ,C                      ,C                    ,                        ,A                  ,F               ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,"Most Chiasmoliths missing central area, most discoasters overgrown"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,NP19/20       ,182,1126,D, 21,R,CC,  18.00,    338.8700,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                     ,F                     ,F                 ,                     ,F                    ,C                   ,                     ,                      ,F                        ,                          ,F                      ,R                  ,                       ,F                        ,F                      ,C                    ,C                       ,C                  ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,"Many coccoliths broken, a few Chiasmoliths lack central structure"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,NP18          ,182,1126,D, 22,R,CC,  15.00,    351.4500,Ladner   ,Nannofossils                                 ,C              ,M                 ,                     ,R                      ,                     ,F                     ,                  ,                     ,C                    ,                    ,                     ,                      ,F                        ,                          ,                       ,                   ,F                      ,R                        ,                       ,                     ,                        ,                   ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,NP17          ,182,1126,D, 24,R,CC,  30.00,    370.1100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                     ,F                     ,F                 ,                     ,C                    ,                    ,                     ,C                     ,                         ,                          ,F                      ,F                  ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,NP17          ,182,1126,D, 25,R,CC,  15.00,    380.3800,Ladner   ,Nannofossils                                 ,F              ,P                 ,                     ,                       ,                     ,R                     ,R                 ,                     ,F                    ,R                   ,                     ,R                     ,F                        ,F                         ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,NP16          ,182,1126,D, 26,R,CC,  23.00,    390.3800,Ladner   ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                     ,R                     ,F                 ,                     ,F                    ,F                   ,R                    ,R                     ,F                        ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,NP16          ,182,1126,D, 27,R,CC,   0.00,    396.6300,Ladner   ,Nannofossils                                 ,A              ,M                 ,R                    ,R                      ,R                    ,C                     ,F                 ,R                    ,C                    ,C                   ,C                    ,C                     ,                         ,                          ,                       ,                   ,                       ,                         ,                       ,                     ,                        ,                   ,                ,                     ,                           ,                         ,                     ,                        ,                   ,                          ,                        ,                       ,                            ,                          ,                         ,                        ,                        ,                       ,                    ,                        ,                     ,                    ,                        ,                          ,                     ,                     ,                      ,                          ,                  ,                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
