Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra hesslandii	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Chiasmolithus altus	Sphenolithus moriformis	Discoaster sp.	Chiasmolithus solitus	Zygrhablithus bijugatus	Reticulofenestra samodurovii	Reticulofenestra reticulata	Reticulofenestra bisecta	Calcidiscus leptoporus	Isthmolithus recurvus	Calcidiscus macintyrei	Reticulofenestra daviesii	Helicosphaera sp.	Coccolithus pelagicus floralis	Coccolithus formosus	Discoaster lodoensis	Chiasmolithus oamaruensis	Reticulofenestra perplexa	Reticulofenestra producta	Coccolithus pataecus	Reticulofenestra gelida	Reticulofenestra pseudoumbilica	Pontosphaera sp.	Reticulofenestra cf. producta	Pseudoemiliania lacunosa	Comment
  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  4	H	 4	   5.00	     28.2500	Wei      	Nannofossils                                 	R              	M                 	                         	                           	                           	                          	R                    	rR                 	                       	              	                     	                       	                            	                           	rR                      	                      	                     	                      	rR                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	R               	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  4	H	 5	   5.00	     29.7500	Wei      	Nannofossils                                 	R              	M                 	rR                       	                           	                           	                          	R                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	rR                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  4	H	 6	   5.00	     31.2500	Wei      	Nannofossils                                 	R              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 751	A	  5	H	 1	   5.00	     33.2500	Wei      	Nannofossils                                 	R              	M                 	rR                       	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	rR                       	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  5	H	 6	   5.00	     40.7500	Wei      	Nannofossils                                 	A              	M                 	rR                       	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	F                        	                         	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  6	H	 1	   5.00	     42.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	A                        	                         	                    	A                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  6	H	 2	   5.00	     44.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	rR                      	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	C                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  6	H	 4	   5.00	     47.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	V                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  6	H	 5	   5.00	     48.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	V                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	A                        	A                        	                    	R                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  6	H	 6	   5.00	     50.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 1	   5.00	     52.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	R                	                              	                    	                    	                         	A                        	V                        	                    	A                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 2	   5.00	     53.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	A                        	A                        	                    	A                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 3	   5.00	     55.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	rR                 	                       	              	                     	                       	                            	                           	                        	R                     	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	C                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 4	   5.00	     56.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	R                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 5	   5.00	     58.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	A                        	V                        	                    	C                      	R                              	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  7	H	 6	   5.00	     59.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	V                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	R                        	A                        	                    	V                      	C                              	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  8	H	 3	   5.00	     64.7500	Wei      	Nannofossils                                 	V              	P                 	                         	                           	                           	                          	V                    	rR                 	                       	              	                     	                       	                            	                           	                        	R                     	                     	R                     	                         	                 	                              	                    	                    	                         	C                        	A                        	                    	V                      	F                              	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  8	H	 4	   5.00	     66.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	C                        	V                        	                    	A                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  8	H	 5	   5.00	     67.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	C                    	rF                 	                       	              	                     	                       	                            	                           	                        	                      	rR                   	R                     	                         	                 	                              	                    	                    	                         	C                        	V                        	                    	V                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  8	H	 6	   5.00	     69.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	                           	                          	C                    	rF                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	C                        	                    	A                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 1	   5.00	     71.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 2	   5.00	     72.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	                           	                          	R                    	rR                 	                       	              	                     	                       	                            	                           	rR                      	R                     	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	R                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 3	   5.00	     74.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	rR                      	R                     	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	A                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 4	   5.00	     75.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 5	   5.00	     77.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	  9	H	 6	   5.00	     78.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	F                     	                     	F                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	F                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 1	   5.00	     80.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	R                      	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 2	   5.00	     82.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	R                     	                     	                      	                         	                 	                              	                    	                    	                         	V                        	A                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 3	   5.00	     83.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 4	   5.00	     85.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 5	   5.00	     86.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 10	H	 6	   5.00	     88.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	A                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 1	   5.00	     90.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 2	   5.00	     91.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 3	   5.00	     93.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	rR                 	                       	              	                     	                       	                            	                           	                        	R                     	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 4	   5.00	     94.7500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 5	   5.00	     96.2500	Wei      	Nannofossils                                 	V              	M                 	                         	                           	                           	                          	A                    	rR                 	                       	              	                     	                       	                            	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 6	   5.00	     97.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	                           	                          	F                    	                   	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	V                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 11	H	 7	   5.00	     99.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	F                          	F                          	                          	C                    	                   	                       	              	                     	                       	rR                          	                           	                        	                      	                     	R                     	                         	                 	                              	                    	                    	                         	C                        	V                        	V                   	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 1	   5.00	     99.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	F                          	                          	R                    	                   	                       	              	                     	                       	                            	                           	                        	R                     	                     	F                     	                         	                 	                              	                    	                    	                         	A                        	V                        	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 2	   5.00	    101.2500	Wei      	Nannofossils                                 	V              	P                 	rF                       	C                          	C                          	                          	C                    	rC                 	                       	              	                     	                       	                            	                           	                        	                      	                     	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 3	   5.00	    102.7500	Wei      	Nannofossils                                 	V              	P                 	rF                       	R                          	C                          	R                         	F                    	rF                 	                       	              	                     	                       	                            	                           	rR                      	                      	rR                   	                      	rR                       	                 	                              	                    	                    	rR                       	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 4	   5.00	    104.2500	Wei      	Nannofossils                                 	V              	M                 	rF                       	                           	F                          	R                         	V                    	rF                 	                       	              	                     	                       	                            	                           	                        	F                     	                     	C                     	rF                       	                 	                              	                    	                    	                         	R                        	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 5	   5.00	    105.7500	Wei      	Nannofossils                                 	V              	M                 	rC                       	                           	                           	R                         	A                    	rF                 	                       	              	                     	                       	rC                          	                           	rF                      	                      	rR                   	R                     	rC                       	                 	                              	rR                  	                    	                         	A                        	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 6	   5.00	    107.2500	Wei      	Nannofossils                                 	V              	M                 	rF                       	                           	                           	R                         	A                    	rC                 	                       	              	                     	                       	                            	rR                         	rR                      	F                     	                     	R                     	rF                       	                 	                              	                    	                    	                         	F                        	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 12	H	 7	   5.00	    108.7500	Wei      	Nannofossils                                 	V              	M                 	rC                       	                           	                           	                          	F                    	rC                 	                       	              	rR                   	                       	                            	rF                         	rR                      	                      	                     	                      	rF                       	                 	                              	rR                  	rR                  	rF                       	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 2	   5.00	    110.7500	Wei      	Nannofossils                                 	V              	M                 	rF                       	                           	C                          	A                         	V                    	rF                 	                       	              	                     	                       	                            	                           	rR                      	C                     	                     	                      	rR                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 3	   5.00	    112.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	R                          	                          	V                    	rF                 	                       	R             	                     	                       	                            	                           	rR                      	F                     	                     	                      	                         	                 	                              	rR                  	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 4	   5.00	    113.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	F                          	                          	V                    	rF                 	                       	R             	                     	rF                     	rF                          	rR                         	                        	R                     	rR                   	                      	rR                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 5	   5.00	    115.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	V                          	A                          	F                         	V                    	rC                 	                       	              	                     	rR                     	                            	rR                         	                        	F                     	                     	                      	rR                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 6	   5.00	    116.7500	Wei      	Nannofossils                                 	V              	M                 	                         	V                          	A                          	F                         	V                    	rR                 	                       	              	                     	                       	                            	                           	rR                      	                      	                     	R                     	                         	                 	C                             	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 13	H	 7	   5.00	    118.2500	Wei      	Nannofossils                                 	V              	M                 	rR                       	A                          	A                          	C                         	A                    	rR                 	                       	              	                     	rR                     	                            	                           	                        	F                     	                     	R                     	                         	R                	F                             	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 14	H	 2	   5.00	    120.2500	Wei      	Nannofossils                                 	V              	M                 	rF                       	V                          	A                          	F                         	V                    	rF                 	                       	R             	                     	rR                     	rF                          	                           	                        	R                     	                     	R                     	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 14	H	 4	   5.00	    123.2500	Wei      	Nannofossils                                 	V              	M                 	rF                       	A                          	F                          	F                         	V                    	rF                 	                       	R             	                     	rR                     	rR                          	                           	rR                      	R                     	                     	R                     	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 14	H	 5	  63.00	    125.3300	Wei      	Nannofossils                                 	V              	M                 	rF                       	                           	C                          	F                         	V                    	rF                 	                       	              	                     	rR                     	rR                          	rR                         	rR                      	R                     	                     	R                     	rF                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 15	H	 1	  63.00	    128.8300	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	F                          	F                         	V                    	rF                 	                       	R             	rR                   	                       	                            	                           	                        	F                     	rR                   	R                     	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 15	H	 2	   5.00	    129.7500	Wei      	Nannofossils                                 	V              	M                 	rF                       	                           	C                          	F                         	V                    	rF                 	                       	              	                     	                       	                            	                           	rR                      	F                     	                     	R                     	rF                       	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 15	H	 4	   5.00	    132.7500	Wei      	Nannofossils                                 	V              	M                 	rR                       	                           	C                          	F                         	V                    	rF                 	                       	R             	                     	rR                     	                            	                           	                        	F                     	                     	F                     	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

  SR	Miocene          	                 	CN4               	CN11          	120	 751	A	 16	H	 1	   2.00	    137.7200	Wei      	Nannofossils                                 	V              	M                 	rR                       	A                          	V                          	                          	C                    	rF                 	                       	              	                     	                       	                            	                           	rR                      	R                     	rR                   	                      	                         	                 	                              	                    	                    	                         	                         	                         	                    	                       	                               	                	                             	                        	from ODP Leg 120 SR Vol 2 Chapter 28 Table 6 p 518

