Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Syracosphaera sp.	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra pseudoumbilica	Helicosphaera paleocarteri	Helicosphaera carteri	Dictyococcites sp.	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Braarudosphaera bigelowii	Discolithina sp.	Discoaster deflandrei	Discoaster intercalaris	Helicosphaera sellii	Discoaster variabilis	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Thoracosphaera sp.	Gephyrocapsa sp.	Emiliania huxleyi	Comment
  SR	Holocene         	                 	                  	NN16          	104	 642	B	  4	H	 5	 107.00	     27.7700	Donnally 	Nannofossils                                 	C              	P                 	                 	                       	F                   	                               	                          	                     	                  	                           	                          	C                    	                        	                         	                	                     	                       	                    	                     	F                     	                        	R                 	                	                 	Rerworking = 80%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Holocene         	                 	                  	NN16          	104	 642	B	  5	H	 4	  26.00	     34.1600	Donnally 	Nannofossils                                 	A              	M                 	F                	                       	A                   	                               	                          	                     	F                 	                           	                          	F                    	                        	                         	                	                     	                       	                    	                     	C                     	F                       	R                 	A               	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Holocene         	                 	                  	NN16          	104	 642	B	  8	H	 1	 103.00	     57.9300	Donnally 	Nannofossils                                 	F              	P                 	                 	                       	R                   	                               	                          	                     	R                 	                           	                          	R                    	                        	                         	                	                     	                       	                    	                     	                      	                        	R                 	R               	                 	Rerworking = 50%; from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Holocene         	                 	                  	NN16          	104	 642	B	  9	H	 2	   6.00	     67.9600	Donnally 	Nannofossils                                 	A              	G                 	F                	                       	A                   	                               	                          	                     	A                 	                           	                          	A                    	                        	                         	R               	                     	                       	                    	                     	F                     	F                       	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Holocene         	                 	                  	NN16          	104	 642	B	 10	H	 1	   6.00	     75.9600	Donnally 	Nannofossils                                 	A              	G                 	                 	F                      	A                   	                               	                          	                     	F                 	                           	                          	A                    	                        	                         	                	                     	                       	F                   	                     	F                     	C                       	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 10	H	 2	  96.00	     78.3600	Donnally 	Nannofossils                                 	A              	M                 	                 	                       	A                   	C                              	                          	                     	                  	                           	                          	A                    	                        	                         	                	                     	                       	F                   	                     	C                     	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 11	H	 4	   6.00	     89.9600	Donnally 	Nannofossils                                 	A              	G                 	                 	                       	A                   	F                              	                          	R                    	                  	                           	                          	A                    	                        	R                        	C               	                     	                       	                    	                     	C                     	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 13	H	 3	  16.00	    107.3600	Donnally 	Nannofossils                                 	A              	M                 	                 	R                      	A                   	C                              	                          	F                    	C                 	                           	                          	A                    	                        	                         	C               	                     	F                      	C                   	F                    	C                     	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 16	H	 1	  10.00	    128.2000	Donnally 	Nannofossils                                 	A              	M                 	                 	C                      	A                   	C                              	                          	F                    	A                 	                           	                          	A                    	                        	                         	R               	                     	R                      	F                   	R                    	                      	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 17	H	 6	   9.00	    145.5900	Donnally 	Nannofossils                                 	A              	M                 	                 	                       	C                   	F                              	C                         	C                    	                  	                           	                          	C                    	                        	                         	                	                     	                       	                    	                     	                      	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Late Pliocene    	                 	                  	NN7           	104	 642	B	 18	H	 5	 101.00	    154.8100	Donnally 	Nannofossils                                 	A              	P                 	                 	R                      	A                   	F                              	C                         	C                    	C                 	                           	                          	A                    	R                       	                         	R               	                     	R                      	                    	                     	                      	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Early Oligocene  	                 	                  	NN1           	104	 642	B	 18	H	 6	 101.00	    156.3100	Donnally 	Nannofossils                                 	A              	M                 	R                	F                      	A                   	C                              	C                         	C                    	C                 	R                          	                          	A                    	R                       	                         	F               	R                    	                       	                    	                     	                      	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

  SR	Early Oligocene  	                 	                  	NN1           	104	 642	B	 19	H	 4	   8.00	    162.2800	Donnally 	Nannofossils                                 	C              	P                 	R                	R                      	A                   	C                              	F                         	F                    	C                 	F                          	F                         	A                    	R                       	R                        	                	                     	                       	                    	                     	                      	                        	                  	                	                 	from ODP 104 SR  Chapter 26 Tables 3&4  p 463

