Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina continuosa	Neogloboquadrina acostaensis	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina atlantica (dextral)	Globigerina bulloides	Globigerinita glutinata	Globigerina falconensis	Globigerina quinqueloba	Neogloboquadrina dutertrei	Orbulina universa	Neogloboquadrina mayeri	Heterohelix striata	Globoturborotalita woodi	Globotruncana bulloides	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinoides subquadratus	Globigerinoides primordius	Globigerinelloides prairiehillensis	Fohsella peripheroronda	Comment
  IR	                 	                 	NSPF6             	              	104	 642	B	  2	H	CC	   1.00	     13.2800	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  3	H	 1	 106.00	     15.3600	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	VR                     	-                      	-                       	-                           	-                         	VR                                 	-                      	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  3	H	 2	  44.00	     16.2400	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	VR                 	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  3	H	 2	 106.00	     16.8600	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	VR                     	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  3	H	 4	  36.00	     19.1600	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	R                                    	                           	                            	                                      	                                    	C                    	R                      	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF6             	              	104	 642	B	  4	H	 1	  35.00	     21.0500	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	R                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF6             	              	104	 642	B	  4	H	 3	  35.00	     24.0500	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  4	H	 4	  43.00	     25.6300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  4	H	 5	  43.00	     27.1300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  4	H	CC	  10.00	     29.6900	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  5	H	 2	  33.00	     31.2300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  5	H	 2	  74.00	     31.6400	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	R                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  5	H	 3	  33.00	     32.7300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  5	H	 3	  74.00	     33.1400	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	R                      	-                  	R                       	-                      	R                      	VR                      	VR                          	VR                        	-                                  	C                      	Age of ice-rafted fossils = early Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  5	H	 4	  74.00	     34.6400	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  5	H	 7	  33.00	     38.7300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils = late Campanian to late Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  5	H	CC	  15.00	     39.5800	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  6	H	 1	 104.00	     39.9400	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  6	H	 2	  44.00	     40.8400	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	R                                    	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  6	H	 2	  54.00	     40.9400	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  6	H	 4	  11.00	     43.5100	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  6	H	 4	  92.00	     44.3200	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  7	H	 3	  20.00	     50.6000	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	R                           	-                         	-                                  	-                      	Age of ice-rafted fossils = Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  7	H	 3	  64.00	     51.0400	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  8	H	 3	 113.00	     61.0300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	VR                      	VR                          	-                         	-                                  	-                      	Age of ice-rafted fossils = Cretaceous & Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	NSPF6             	              	104	 642	B	  9	H	 4	  52.00	     71.4200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	                           	                            	                                      	                                    	                     	C                      	C                      	R                      	                          	R                	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF5             	              	104	 642	B	  9	H	 6	  52.00	     74.4200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	                           	                            	                                      	R                                   	C                    	C                      	R                      	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	  9	H	CC	   8.00	     76.1500	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	                                     	                           	                            	R                                     	                                    	C                    	R                      	R                      	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 10	H	 2	  52.00	     77.9200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	                                     	                           	                            	C                                     	                                    	R                    	R                      	R                      	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 10	H	 4	  52.00	     80.9200	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	R                                    	R                          	R                           	F                                     	                                    	F                    	C                      	C                      	                       	R                         	R                	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 10	H	 6	  52.00	     83.9200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	                                     	R                          	                            	R                                     	                                    	C                    	R                      	R                      	R                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 10	H	CC	  15.00	     85.6600	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	R                                    	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 11	H	 4	  46.00	     90.3600	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	C                                    	R                          	                            	R                                     	                                    	C                    	C                      	C                      	R                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF4             	              	104	 642	B	 11	H	 6	  46.00	     93.3600	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	R                                    	R                          	                            	                                      	                                    	F                    	C                      	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 11	H	CC	  12.00	     95.2000	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	                                     	C                          	                            	C                                     	R                                   	R                    	C                      	C                      	                       	                          	R                	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 12	H	 6	  67.00	    103.0700	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	R                                    	C                          	                            	R                                     	                                    	C                    	R                      	R                      	C                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 13	H	 1	  74.00	    104.9400	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	R                          	R                           	R                                     	R                                   	C                    	C                      	R                      	                       	T                         	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 13	H	 3	  74.00	    107.9400	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	                                     	                           	                            	                                      	                                    	F                    	C                      	R                      	R                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 13	H	 5	  74.00	    110.9400	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	R                                    	C                          	                            	R                                     	R                                   	C                    	C                      	R                      	                       	T                         	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 13	H	CC	  14.00	    113.8700	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	                                     	R                          	                            	                                      	                                    	R                    	R                      	                       	R                      	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 15	H	 2	  74.00	    125.7400	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	F                                    	F                          	C                           	                                      	C                                   	C                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 15	H	CC	   7.00	    127.8700	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	F                                    	F                          	C                           	                                      	F                                   	F                    	C                      	R                      	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 16	H	 2	  69.00	    130.2900	Jansen   	Planktonic Foraminifers                      	               	                  	                                       	R                                    	R                          	R                           	                                      	R                                   	R                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 16	H	 4	  69.00	    132.5400	Jansen   	Planktonic Foraminifers                      	               	                  	                                       	R                                    	                           	                            	                                      	                                    	R                    	R                      	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 16	H	 6	  69.00	    135.5400	Jansen   	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	R                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 16	H	CC	   8.00	    137.7200	Jansen   	Planktonic Foraminifers                      	               	                  	                                       	C                                    	C                          	                            	R                                     	R                                   	C                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 17	H	 2	  71.00	    140.2100	Jansen   	Planktonic Foraminifers                      	               	                  	F                                      	F                                    	F                          	                            	R                                     	C                                   	C                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 17	H	 6	  71.00	    146.2100	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	C                          	R                           	                                      	R                                   	R                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 18	H	 1	  72.00	    148.5200	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	C                                    	C                          	                            	                                      	                                    	F                    	C                      	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 18	H	 3	  72.00	    151.5200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	C                                    	C                          	                            	R                                     	R                                   	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 18	H	 5	  82.00	    154.6200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	C                                    	F                          	                            	R                                     	                                    	C                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 18	H	CC	   0.00	    157.3300	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	C                                    	C                          	R                           	R                                     	C                                   	R                    	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF3             	              	104	 642	B	 19	H	 2	  89.00	    160.0900	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	C                                    	F                          	R                           	R                                     	R                                   	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	                  	              	104	 642	B	 19	H	 4	  72.00	    162.9200	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	C                          	R                           	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

