Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella sp.	Martinottiella communis	Uvigerina pygmaea	Melonis zaandamae	Cibicides spp.	Eponides umbonatus	Cassidulina subglobosa	Epistominella exigua	Cassidulina reniforme	Uvigerina pygmaea langeri	Pullenia bulloides	Cassidulina laevigata	Islandiella spp.	Alabamina spp.	Spirosigmoilinella spp.	Elphidium spp.	Valvulineria spp.	Elphidium excavatum	Cibicides wuellerstorfi	Stensioeina granulata incondita	Bolivinoides draco militaris	Bolivinoides decoratus	Silicosigmoilina spp.	Bulimina marginata	Comment
  SR	                 	                 	A1                	              	104	 642	B	  2	H	 3	  36.00	      8.1600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	6.2%             	              	43.1%             	1.0%                  	1.0%                	8.1%                 	                         	                  	26.3%                	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 13.1%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  2	H	 4	  36.00	      9.6600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	              	                  	                      	5.0%                	25.0%                	                         	                  	34.0%                	                	              	                       	              	                 	9.0%               	5.0%                   	                               	                            	                      	                     	                  	Other taxa = 18%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  2	H	 5	  36.00	     11.1600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	6.3%             	              	39.8%             	                      	.6%                 	4.0%                 	                         	                  	39.8%                	                	              	                       	              	                 	.6%                	.6%                    	                               	                            	                      	                     	                  	Other taxa = 8.3%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  2	H	 5	 112.00	     11.9200	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  2	H	 6	  36.00	     12.6600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	13.0%            	              	5.0%              	                      	                    	35.0%                	                         	                  	35.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 22%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  2	H	 6	  53.00	     12.8300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	A1                	              	104	 642	B	  2	H	CC	  17.00	     13.4400	Osterman 	Benthic Foraminifers                         	F              	G                 	                      	                       	                 	8.0%             	T             	6.0%              	                      	                    	7.0%                 	                         	                  	35.0%                	                	7.0%          	                       	6.0%          	                 	                   	4.0%                   	                               	                            	                      	                     	9.0%              	16% Unidentified benthic forams;  15% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	B	  3	H	 1	  36.00	     14.6600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	15.0%             	                      	1.0%                	38.0%                	                         	                  	3.0%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 42%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  3	H	 1	 106.00	     15.3600	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	VR                             	-                           	VR                    	                     	                  	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  3	H	 2	  44.00	     16.2400	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  3	H	 2	 106.00	     16.8600	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils = early Campanian to early Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  3	H	 3	  36.00	     17.6600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	3.0%              	                      	13.0%               	23.0%                	                         	                  	47.0%                	                	              	                       	              	                 	9.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 4%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  3	H	 4	  36.00	     19.1600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	.3%              	              	.3%               	.3%                   	2.3%                	15.0%                	                         	                  	50.3%                	                	              	                       	              	                 	                   	9.2%                   	                               	                            	                      	                     	                  	Other taxa = 11.9%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  3	H	CC	   9.00	     20.3900	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	                  	                      	18.0%               	11.0%                	                         	                  	55.0%                	                	              	                       	              	                 	1.0%               	6.0%                   	                               	                            	                      	                     	                  	Other taxa = 8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A1                	              	104	 642	B	  3	H	CC	  17.00	     20.4700	Osterman 	Benthic Foraminifers                         	F              	P                 	                      	                       	                 	3.0%             	              	                  	                      	                    	5.0%                 	                         	                  	51.0%                	3.0%            	              	                       	              	                 	                   	28.0%                  	                               	                            	                      	                     	                  	10% Unidentified benthic forams;  3% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	B	  4	H	 1	  35.00	     21.0500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	13.1%            	              	8.8%              	                      	                    	14.6%                	                         	                  	51.1%                	                	              	                       	              	                 	2.2%               	2.2%                   	                               	                            	                      	                     	                  	Other taxa = 8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  4	H	 2	  35.00	     22.5500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	5.0%             	              	2.0%              	                      	20.0%               	15.0%                	                         	                  	32.0%                	                	              	                       	              	                 	6.0%               	1.0%                   	                               	                            	                      	                     	                  	Other taxa = 19%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  4	H	 3	  35.00	     24.0500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	7.1%             	              	                  	2.2%                  	1.8%                	14.6%                	                         	                  	44.1%                	                	              	                       	              	                 	2.8%               	11.2%                  	                               	                            	                      	                     	                  	Other taxa = 16.2%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  4	H	 4	  35.00	     25.5500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	                  	                      	21.0%               	16.0%                	                         	                  	47.0%                	                	              	                       	              	                 	2.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 13%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  4	H	 4	  43.00	     25.6300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  4	H	 5	  43.00	     27.1300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  4	H	 6	  35.00	     28.5500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.0%             	              	2.0%              	                      	37.0%               	10.0%                	                         	                  	23.0%                	                	              	                       	              	                 	13.0%              	                       	                               	                            	                      	                     	                  	Other taxa = 12%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  4	H	CC	  10.00	     29.6900	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	              	                  	                      	8.4%                	15.5%                	                         	                  	21.8%                	                	              	                       	              	                 	41.8%              	                       	                               	                            	                      	                     	                  	Other taxa = 8.5%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A1                	              	104	 642	B	  4	H	CC	  18.00	     29.7700	Osterman 	Benthic Foraminifers                         	F              	M                 	                      	                       	                 	4.0%             	              	                  	                      	                    	3.0%                 	                         	                  	32.0%                	                	              	                       	T             	                 	49.0%              	                       	                               	                            	                      	                     	                  	12% Unidentified benthic forams;  15% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	B	  5	H	 1	  74.00	     30.1400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.0%             	              	                  	                      	19.0%               	18.0%                	                         	                  	20.0%                	                	              	                       	              	                 	28.0%              	                       	                               	                            	                      	                     	                  	Other taxa = 12%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  5	H	 2	  33.00	     31.2300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  5	H	 2	  74.00	     31.6400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	21.4%            	              	.5%               	                      	12.5%               	21.4%                	                         	                  	39.7%                	                	              	                       	              	                 	.5%                	                       	                               	                            	                      	                     	                  	Other taxa = 4%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  5	H	 3	  33.00	     32.7300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  5	H	 3	  74.00	     33.1400	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils = early Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  5	H	 4	  74.00	     34.6400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	+                    	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  5	H	 5	  74.00	     36.1400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	+                	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  5	H	 7	  33.00	     38.7300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	R                           	-                     	                     	                  	Age of ice-rafted fossils = late Campanian to late Maastrichtian ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  5	H	 7	  74.00	     39.1400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.0%             	              	                  	                      	5.0%                	80.0%                	                         	                  	8.0%                 	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 3%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A1                	              	104	 642	B	  5	H	CC	  19.00	     39.6200	Osterman 	Benthic Foraminifers                         	F              	M                 	                      	                       	                 	T                	              	T                 	                      	                    	T                    	                         	T                 	T                    	                	              	                       	T             	                 	T                  	                       	                               	                            	                      	T                    	T                 	17% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	B	  6	H	 1	  44.00	     39.3400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	3.0%             	              	                  	                      	2.0%                	49.0%                	                         	                  	36.0%                	                	              	                       	              	                 	2.0%               	2.0%                   	                               	                            	                      	                     	                  	Other taxa = 6%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  6	H	 1	 104.00	     39.9400	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  6	H	 2	  44.00	     40.8400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	+                	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  6	H	 2	  54.00	     40.9400	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A1                	              	104	 642	B	  6	H	 3	  44.00	     42.3400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	56.0%                	                         	                  	33.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 11%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  6	H	 4	  11.00	     43.5100	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  6	H	 4	  92.00	     44.3200	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  6	H	 6	  44.00	     46.8400	Osterman 	Benthic Foraminifers                         	B              	                  	                      	                       	                 	                 	              	                  	                      	+                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A1                	              	104	 642	B	  6	H	CC	  23.00	     47.2700	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	T                    	                	              	                       	              	                 	T                  	T                      	                               	                            	                      	                     	                  	11% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	                  	              	104	 642	B	  7	H	 3	  20.00	     50.6000	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils = Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  IR	                 	                 	A1                	              	104	 642	B	  7	H	CC	  17.00	     57.2800	Osterman 	Benthic Foraminifers                         	R              	M                 	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	T                  	                       	                               	                            	                      	                     	                  	15% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	                  	              	104	 642	B	  8	H	 2	  64.00	     59.0400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	+                  	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	                  	              	104	 642	B	  8	H	 3	 113.00	     61.0300	Spiegler 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	-                              	-                           	-                     	                     	                  	Age of ice-rafted fossils = Cretaceous & Miocene ; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 1	  52.00	     66.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	8.0%             	              	3.0%              	                      	84.0%               	2.0%                 	                         	                  	1.0%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 2%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 2	  52.00	     68.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	+                	              	                  	                      	                    	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 3	  52.00	     69.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	11.0%            	              	4.0%              	2.0%                  	8.0%                	26.0%                	                         	                  	25.0%                	                	              	                       	              	                 	11.0%              	1.0%                   	                               	                            	                      	                     	                  	Other taxa = 12%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 4	  52.00	     71.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	49.5%            	.8%           	                  	2.1%                  	4.9%                	8.0%                 	                         	                  	2.6%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 32.1%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 5	  52.00	     72.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	34.0%            	3.0%          	                  	4.0%                  	16.0%               	10.0%                	                         	                  	12.0%                	                	              	                       	              	                 	5.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 16%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 6	  52.00	     74.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	38.8%            	2.9%          	                  	12.7%                 	15.8%               	5.2%                 	                         	                  	1.8%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 22.8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	 7	  52.00	     75.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	13.0%            	              	2.0%              	48.0%                 	5.0%                	24.0%                	                         	                  	4.0%                 	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 3%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	  9	H	CC	   8.00	     76.1500	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	31.2%            	3.4%          	                  	32.9%                 	6.2%                	6.2%                 	                         	                  	2.5%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 17.6%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A2                	              	104	 642	B	  9	H	CC	  17.00	     76.2400	Osterman 	Benthic Foraminifers                         	A              	M                 	                      	                       	                 	15.0%            	              	                  	55.0%                 	7.0%                	                     	                         	                  	9.0%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	14% Other species;  60% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 1	  52.00	     76.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	12.0%            	1.0%          	3.0%              	8.0%                  	35.0%               	17.0%                	                         	                  	7.0%                 	                	              	                       	              	                 	2.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 15%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 2	  52.00	     77.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	25.7%            	4.0%          	                  	1.7%                  	2.7%                	                     	                         	                  	34.1%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 31.8%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 3	  52.00	     79.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	7.0%             	              	1.0%              	                      	54.0%               	8.0%                 	                         	                  	18.0%                	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 11%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 4	  52.00	     80.9200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	11.0%            	.5%           	                  	                      	42.2%               	.5%                  	                         	                  	21.8%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 24%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 5	  52.00	     82.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	24.0%            	              	1.0%              	                      	1.0%                	18.0%                	                         	                  	30.0%                	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 26%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 10	H	 7	  52.00	     85.4200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	+                   	                     	                         	                  	                     	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 11	H	 3	  46.00	     88.8600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	4.0%             	              	3.0%              	19.0%                 	48.0%               	4.0%                 	                         	                  	19.0%                	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 2%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A2                	              	104	 642	B	 11	H	 4	  46.00	     90.3600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	28.4%            	1.0%          	.5%               	10.1%                 	3.4%                	3.8%                 	                         	3.0%              	7.7%                 	                	              	                       	              	                 	                   	                       	                               	                            	                      	                     	                  	Other taxa = 45.1%; from ODP 104 SR Chapter 37 Table 2 p 750-752

