Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Syracosphaera pulchra,Sphenolithus neoabies,Sphenolithus abies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp.,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites productus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scapholithus fossilis,Discoaster quadramus,Coccolithus pelagicus,Rhabdosphaera procera,Angulolithina arca,Helicosphaera inversa,Discoaster challengeri,Ceratolithus rugosus,Pseudoemiliania lacunosa,Discoaster triradiatus,Helicosphaera sellii,Discoaster asymmetricus,Syracosphaera histrica,Discoaster tamalis,Rhabdosphaera clavigera,Ceratolithus cristatus,Helicosphaera wallichii,Pyrocyclus ranginess,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Gephyrocapsa oceanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,159, 959,C,  2,H, 3,  80.00,      6.1000,Shin     ,Nannofossils                                 ,               ,                  ,R                      ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,                     ,R                      ,59.7%            ,20.4%                ,                     ,                   ,                        ,                   ,                        ,                      ,1.1%                  ,R                    ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,.8%                     ,                      ,                    ,                       ,R                     ,                  ,                       ,                      ,.3%                    ,                    ,16.7%                    ,                          ,1.0%                 ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,159, 959,C,  2,H, 4,  80.00,      7.6000,Shin     ,Nannofossils                                 ,               ,                  ,.1%                    ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,R                    ,.5%                    ,45.2%            ,33.3%                ,                     ,                   ,                        ,                   ,                        ,                      ,1.6%                  ,R                    ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,.7%                     ,                      ,                    ,                       ,                      ,                  ,.1%                    ,                      ,1.6%                   ,                    ,8.9%                     ,                          ,9.3%                 ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,159, 959,C,  2,H, 5,  80.00,      9.1000,Shin     ,Nannofossils                                 ,               ,                  ,.1%                    ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,.1%                  ,                       ,35.4%            ,49.1%                ,                     ,                   ,                        ,                   ,                        ,                      ,.3%                   ,.1%                  ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,.3%                     ,                      ,                    ,                       ,.6%                   ,                  ,                       ,                      ,1.4%                   ,                    ,3.5%                     ,                          ,9.5%                 ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,159, 959,C,  2,H, 6,  80.00,     10.6000,Shin     ,Nannofossils                                 ,               ,                  ,.9%                    ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,R                    ,.9%                    ,55.3%            ,28.0%                ,                     ,                   ,                        ,                   ,.9%                     ,                      ,1.3%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,2.2%                    ,                      ,                    ,                       ,R                     ,                  ,.2%                    ,                      ,.4%                    ,                    ,4.8%                     ,                          ,5.2%                 ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,159, 959,C,  3,H, 1,  80.00,     12.6000,Shin     ,Nannofossils                                 ,               ,                  ,1.3%                   ,                     ,                     ,                  ,                           ,.1%                             ,                         ,                       ,.3%                  ,1.2%                   ,43.5%            ,35.8%                ,                     ,                   ,                        ,                   ,3.7%                    ,                      ,2.5%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,10.3%                   ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,1.4%                   ,.1%                 ,                         ,                          ,.1%                  ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13b             ,              ,159, 959,C,  3,H, 2,  80.00,     14.1000,Shin     ,Nannofossils                                 ,               ,                  ,1.7%                   ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,R                    ,.4%                    ,74.5%            ,16.8%                ,                     ,                   ,                        ,                   ,.2%                     ,.2%                   ,1.5%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,4.7%                    ,                      ,                    ,                       ,                      ,                  ,R                      ,                      ,.4%                    ,.2%                 ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13b             ,              ,159, 959,C,  3,H, 3,  80.00,     15.6000,Shin     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,R                    ,.2%                    ,79.8%            ,16.5%                ,                     ,                   ,                        ,                   ,.3%                     ,                      ,1.5%                  ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,R                       ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,.1%                    ,R                   ,.2%                      ,.5%                       ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13b             ,              ,159, 959,C,  3,H, 4,  80.00,     17.1000,Shin     ,Nannofossils                                 ,               ,                  ,.6%                    ,.3%                  ,                     ,                  ,                           ,                                ,.3%                      ,                       ,.2%                  ,.6%                    ,58.8%            ,23.8%                ,                     ,                   ,                        ,                   ,7.6%                    ,                      ,1.5%                  ,                     ,                    ,1.7%                 ,.2%                  ,                  ,                     ,                      ,                    ,.8%                     ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,1.8%                   ,                    ,3.2%                     ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13b             ,              ,159, 959,C,  3,H, 5,  80.00,     18.6000,Shin     ,Nannofossils                                 ,               ,                  ,1.3%                   ,                     ,                     ,                  ,                           ,                                ,.6%                      ,                       ,                     ,.3%                    ,47.2%            ,29.1%                ,                     ,                   ,                        ,                   ,6.7%                    ,R                     ,.9%                   ,                     ,                    ,.3%                  ,                     ,                  ,R                    ,                      ,                    ,2.0%                    ,                      ,                    ,                       ,                      ,                  ,                       ,.1%                   ,.4%                    ,                    ,11.4%                    ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13a             ,              ,159, 959,C,  3,H, 6,  80.00,     20.1000,Shin     ,Nannofossils                                 ,               ,                  ,.9%                    ,                     ,                     ,                  ,                           ,                                ,1.2%                     ,                       ,.1%                  ,.6%                    ,45.4%            ,39.4%                ,                     ,                   ,                        ,                   ,1.2%                    ,.5%                   ,1.3%                  ,                     ,                    ,                     ,R                    ,                  ,.5%                  ,                      ,                    ,2.5%                    ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,.7%                    ,.2%                 ,5.8%                     ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN13a             ,              ,159, 959,C,  4,H, 1,  80.00,     22.1000,Shin     ,Nannofossils                                 ,               ,                  ,1.8%                   ,                     ,                     ,                  ,3.6%                       ,                                ,8.6%                     ,                       ,                     ,                       ,10.8%            ,55.4%                ,                     ,                   ,                        ,                   ,                        ,.1%                   ,.2%                   ,.2%                  ,                    ,.1%                  ,                     ,                  ,2.8%                 ,                      ,                    ,11.4%                   ,                      ,.4%                 ,                       ,.6%                   ,                  ,                       ,                      ,.4%                    ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,159, 959,C,  4,H, 2,  80.00,     23.6000,Shin     ,Nannofossils                                 ,               ,                  ,3.4%                   ,                     ,                     ,                  ,3.4%                       ,                                ,14.3%                    ,                       ,                     ,.6%                    ,4.8%             ,56.3%                ,                     ,                   ,                        ,                   ,                        ,.2%                   ,2.6%                  ,.2%                  ,                    ,1.1%                 ,                     ,                  ,2.8%                 ,                      ,                    ,6.5%                    ,                      ,.2%                 ,                       ,.8%                   ,                  ,                       ,.2%                   ,3.2%                   ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,159, 959,C,  4,H, 3,  80.00,     25.1000,Shin     ,Nannofossils                                 ,               ,                  ,1.4%                   ,                     ,                     ,                  ,1.6%                       ,                                ,.3%                      ,                       ,                     ,.2%                    ,8.4%             ,44.4%                ,                     ,                   ,                        ,.6%                ,                        ,.2%                   ,.8%                   ,.2%                  ,                    ,.4%                  ,                     ,                  ,.6%                  ,                      ,                    ,10.2%                   ,                      ,1.4%                ,                       ,.2%                   ,                  ,.4%                    ,                      ,.8%                    ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,159, 959,C,  4,H, 4,  80.00,     26.6000,Shin     ,Nannofossils                                 ,               ,                  ,4.2%                   ,.2%                  ,                     ,                  ,.4%                        ,                                ,16.8%                    ,                       ,.2%                  ,.3%                    ,3.2%             ,.7%                  ,                     ,                   ,                        ,1.2%               ,                        ,.2%                   ,.8%                   ,                     ,                    ,.2%                  ,.2%                  ,                  ,                     ,                      ,                    ,1.8%                    ,                      ,.2%                 ,1.2%                   ,.6%                   ,                  ,                       ,.2%                   ,.6%                    ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  4,H, 5,  80.00,     28.1000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,                     ,                     ,                  ,                           ,                                ,45.4%                    ,                       ,.4%                  ,1.4%                   ,.2%              ,.4%                  ,                     ,                   ,                        ,                   ,                        ,.2%                   ,1.8%                  ,                     ,                    ,                     ,                     ,                  ,1.4%                 ,                      ,                    ,1.8%                    ,                      ,.2%                 ,                       ,.4%                   ,                  ,                       ,                      ,.1%                    ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  4,H, 6,  80.00,     29.6000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,                     ,                     ,                  ,.2%                        ,                                ,.3%                      ,                       ,                     ,.4%                    ,1.6%             ,47.6%                ,                     ,                   ,.2%                     ,                   ,                        ,.2%                   ,.8%                   ,                     ,                    ,.4%                  ,                     ,                  ,.2%                  ,                      ,                    ,4.6%                    ,                      ,.4%                 ,                       ,.2%                   ,                  ,                       ,.2%                   ,.4%                    ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 1,  80.00,     31.6000,Shin     ,Nannofossils                                 ,               ,                  ,.4%                    ,                     ,                     ,                  ,24.8%                      ,                                ,6.9%                     ,                       ,.6%                  ,2.6%                   ,2.6%             ,58.5%                ,                     ,                   ,R                       ,.6%                ,                        ,                      ,.8%                   ,                     ,                    ,                     ,                     ,                  ,.4%                  ,                      ,                    ,.8%                     ,                      ,.4%                 ,                       ,.2%                   ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 2,  80.00,     33.1000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,                     ,                     ,                  ,16.4%                      ,                                ,17.2%                    ,                       ,                     ,2.4%                   ,3.6%             ,55.4%                ,                     ,                   ,.2%                     ,                   ,                        ,.8%                   ,.1%                   ,                     ,                    ,                     ,.2%                  ,                  ,.2%                  ,                      ,                    ,1.6%                    ,                      ,.2%                 ,                       ,.4%                   ,                  ,.2%                    ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 3,  80.00,     34.6000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,.2%                  ,                     ,                  ,.2%                        ,                                ,15.6%                    ,                       ,                     ,1.6%                   ,.1%              ,58.4%                ,                     ,                   ,.2%                     ,R                  ,                        ,.4%                   ,.2%                   ,.2%                  ,                    ,                     ,                     ,                  ,.6%                  ,                      ,                    ,1.4%                    ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 4,  80.00,     36.1000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,.2%                  ,                     ,                  ,                           ,                                ,16.6%                    ,8.6%                   ,.2%                  ,1.6%                   ,.2%              ,70.3%                ,                     ,                   ,.2%                     ,R                  ,.6%                     ,                      ,.6%                   ,                     ,                    ,                     ,                     ,                  ,.4%                  ,                      ,                    ,R                       ,                      ,                    ,                       ,.2%                   ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 5,  80.00,     37.6000,Shin     ,Nannofossils                                 ,               ,                  ,.4%                    ,                     ,                     ,                  ,.4%                        ,                                ,11.8%                    ,.3%                    ,.2%                  ,.8%                    ,.2%              ,55.6%                ,                     ,                   ,1.2%                    ,                   ,.6%                     ,.2%                   ,.4%                   ,                     ,                    ,                     ,                     ,                  ,.4%                  ,                      ,                    ,1.8%                    ,                      ,.2%                 ,                       ,.2%                   ,                  ,.2%                    ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,159, 959,C,  5,H, 6,  80.00,     39.1000,Shin     ,Nannofossils                                 ,               ,                  ,.8%                    ,                     ,                     ,                  ,.2%                        ,                                ,6.6%                     ,21.4%                  ,.4%                  ,.2%                    ,.2%              ,62.4%                ,                     ,                   ,.6%                     ,.6%                ,.2%                     ,.4%                   ,.8%                   ,                     ,                    ,                     ,                     ,                  ,.6%                  ,                      ,                    ,2.2%                    ,                      ,.6%                 ,                       ,                      ,                  ,                       ,R                     ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,159, 959,C,  6,H, 1,  80.00,     41.1000,Shin     ,Nannofossils                                 ,               ,                  ,.4%                    ,                     ,                     ,                  ,.2%                        ,                                ,9.8%                     ,20.9%                  ,R                    ,.2%                    ,1.2%             ,58.7%                ,                     ,R                  ,2.4%                    ,.2%                ,                        ,1.2%                  ,1.2%                  ,                     ,                    ,.2%                  ,                     ,                  ,1.4%                 ,                      ,                    ,2.0%                    ,                      ,                    ,.2%                    ,R                     ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,159, 959,C,  6,H, 2,  80.00,     42.6000,Shin     ,Nannofossils                                 ,               ,                  ,.6%                    ,.2%                  ,                     ,rR                ,.2%                        ,                                ,4.0%                     ,7.8%                   ,.2%                  ,2.2%                   ,2.0%             ,75.9%                ,                     ,R                  ,.6%                     ,R                  ,                        ,.2%                   ,.6%                   ,                     ,                    ,                     ,.2%                  ,                  ,                     ,                      ,                    ,4.6%                    ,                      ,.2%                 ,.2%                    ,.2%                   ,R                 ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,159, 959,C,  6,H, 3,  80.00,     44.1000,Shin     ,Nannofossils                                 ,               ,                  ,.8%                    ,R                    ,                     ,                  ,                           ,                                ,4.4%                     ,26.4%                  ,.4%                  ,1.2%                   ,14.7%            ,40.8%                ,                     ,R                  ,2.4%                    ,.4%                ,                        ,.6%                   ,1.0%                  ,.2%                  ,                    ,.2%                  ,.2%                  ,                  ,.4%                  ,                      ,                    ,6.2%                    ,                      ,.2%                 ,                       ,                      ,R                 ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,159, 959,C,  6,H, 4,  80.00,     45.6000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,                     ,                     ,                  ,.1%                        ,                                ,17.4%                    ,4.4%                   ,                     ,.8%                    ,.6%              ,27.2%                ,                     ,.2%                ,                        ,.6%                ,                        ,                      ,.8%                   ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,5.6%                    ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,159, 959,C,  6,H, 5,  80.00,     47.1000,Shin     ,Nannofossils                                 ,               ,                  ,1.4%                   ,                     ,                     ,                  ,3.9%                       ,                                ,3.0%                     ,43.7%                  ,.4%                  ,1.2%                   ,1.6%             ,39.0%                ,R                    ,.2%                ,                        ,                   ,.8%                     ,.2%                   ,.4%                   ,.2%                  ,                    ,                     ,                     ,                  ,                     ,R                     ,                    ,2.4%                    ,R                     ,                    ,                       ,                      ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN12a             ,              ,159, 959,C,  6,H, 6,  80.00,     48.6000,Shin     ,Nannofossils                                 ,               ,                  ,.2%                    ,.2%                  ,                     ,?                 ,.0%                        ,                                ,.1%                      ,.3%                    ,                     ,3.2%                   ,.8%              ,42.4%                ,R                    ,R                  ,.6%                     ,                   ,                        ,.4%                   ,1.8%                  ,                     ,                    ,                     ,                     ,                  ,                     ,R                     ,                    ,.8%                     ,                      ,.2%                 ,                       ,                      ,R                 ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 1,  80.00,     50.6000,Shin     ,Nannofossils                                 ,               ,                  ,1.2%                   ,.2%                  ,1.8%                 ,3.6%              ,.1%                        ,                                ,13.2%                    ,.2%                    ,.8%                  ,1.4%                   ,.4%              ,.4%                  ,                     ,                   ,.8%                     ,.2%                ,                        ,.2%                   ,.1%                   ,R                    ,                    ,                     ,.2%                  ,                  ,                     ,                      ,                    ,12.2%                   ,                      ,                    ,                       ,                      ,R                 ,.2%                    ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11b             ,              ,159, 959,C,  7,H, 2,  80.00,     52.1000,Shin     ,Nannofossils                                 ,               ,                  ,1.6%                   ,                     ,2.8%                 ,3.6%              ,3.8%                       ,                                ,3.0%                     ,7.2%                   ,.4%                  ,1.6%                   ,7.6%             ,57.5%                ,                     ,R                  ,3.0%                    ,.1%                ,                        ,.2%                   ,1.4%                  ,R                    ,                    ,                     ,.2%                  ,                  ,                     ,                      ,                    ,5.0%                    ,                      ,                    ,R                      ,.2%                   ,                  ,                       ,                      ,                       ,                    ,                         ,                          ,                     ,                 ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
