Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma	Globoconella inflata	Globigerina bulloides	Menardella menardii (sinistral)	Menardella menardii (dextral)	Hirsutella hirsuta	Hastigerina pelagica	Globoturborotalita rubescens	Globorotalia tumida	Globigerina falconensis	Globigerina bermudezi	Globigerinella calida	Globorotalia tumida flexuosa	Truncorotalia crassaformis hessi	Globigerinoides obliquus	Globigerinoides fistulosus	Globigerinoides extremus	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  3	H	 7	  70.00	     26.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                                    	F                                    	-                         	-                        	R                           	R                          	F                   	R                    	-                              	-                            	F                 	-                   	-                           	R                  	                       	-                    	-                    	R                           	                                	                        	                          	                        	aragonitic debrispyrite burrows LO flexosa  >0.068 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  3	H	CC	  19.00	     26.9800	Chaisson 	Planktonic Foraminifers                      	C              	VG                	-                                    	+                                    	+                         	                         	+                           	                           	                    	                     	+                              	-                            	                  	+                   	                            	+                  	                       	+                    	                     	+                           	                                	                        	                          	                        	>0.068

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  4	H	CC	  25.00	     36.6000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	                          	+                        	                            	+                          	+                   	                     	                               	                             	+                 	                    	                            	+                  	                       	                     	                     	+                           	                                	                        	                          	                        	>0.068	<0.401

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  5	H	 1	  70.00	     36.7000	Chaisson 	Planktonic Foraminifers                      	F              	VG                	-                                    	R                                    	R                         	R                        	R                           	R                          	R                   	-                    	R                              	-                            	-                 	-                   	-                           	F                  	R                      	                     	                     	F                           	R                               	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  5	H	 2	  70.00	     38.2000	Chaisson 	Planktonic Foraminifers                      	F              	VG                	-                                    	F                                    	-                         	-                        	-                           	R                          	F                   	-                    	-                              	-                            	-                 	R                   	-                           	R                  	                       	                     	                     	R                           	                                	                        	                          	                        	FO flexuosa >0.4.01 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  5	H	 3	  70.00	     39.7000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	-                                    	F                                    	-                         	-                        	-                           	R                          	F                   	                     	-                              	-                            	-                 	-                   	R                           	-                  	R                      	                     	                     	                            	                                	                        	                          	                        	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  5	H	 4	  70.00	     41.2000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                                    	F                                    	R                         	-                        	-                           	F                          	R                   	-                    	R                              	-                            	-                 	R                   	-                           	-                  	                       	                     	                     	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  5	H	CC	  30.00	     46.1800	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	                            	+                          	+                   	+                    	                               	                             	+                 	                    	                            	                   	                       	                     	                     	-                           	+                               	                        	                          	                        	no flexuosa >0.401	

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  6	H	 5	  70.00	     52.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	+                         	                         	+                           	                           	                    	                     	                               	                             	                  	                    	                            	                   	                       	                     	                     	                            	+                               	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  6	H	CC	  28.00	     55.6200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	                            	                           	+                   	+                    	                               	                             	                  	                    	                            	                   	                       	                     	                     	-                           	-                               	                        	                          	                        	pyrite filled borrows>0.401<0.75

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  7	H	 2	  70.00	     57.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	                          	                         	                            	                           	+                   	                     	+                              	-                            	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  7	H	 4	  70.00	     60.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	                            	                           	+                   	                     	+                              	-                            	                  	                    	                            	+                  	                       	                     	                     	-                           	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  7	H	 6	  70.00	     63.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	+                           	                           	+                   	                     	+                              	-                            	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  7	H	CC	  28.00	     65.2300	Chaisson 	Planktonic Foraminifers                      	F              	G                 	-                                    	+                                    	+                         	                         	                            	                           	+                   	                     	                               	                             	                  	+                   	+                           	+                  	                       	                     	                     	-                           	+                               	-                       	                          	                        	many pyrite filled borrowslarge fine fraction

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	 1	  70.00	     65.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	+                         	+                        	+                           	                           	+                   	                     	+                              	-                            	                  	                    	                            	+                  	                       	                     	                     	+                           	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	 3	  70.00	     68.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	                            	                           	+                   	                     	+                              	-                            	                  	                    	                            	+                  	                       	                     	                     	+                           	+                               	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	 4	  70.00	     69.7000	Chaisson 	Planktonic Foraminifers                      	F              	G                 	-                                    	+                                    	+                         	+                        	+                           	                           	+                   	                     	+                              	-                            	                  	                    	                            	+                  	                       	                     	                     	+                           	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	 5	  70.00	     71.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	+                        	                            	+                          	+                   	                     	                               	                             	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	 6	  70.00	     72.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	+                         	                         	                            	                           	+                   	                     	                               	                             	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  8	H	CC	  28.00	     74.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	-                                    	+                         	+                        	                            	+                          	+                   	+                    	                               	                             	+                 	                    	                            	                   	                       	+                    	                     	                            	                                	                        	                          	                        	much micapyrite filled borrows>0.75 (no hessi)

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  9	H	CC	  26.00	     84.1600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	+                                    	+                         	+                        	+                           	+                          	+                   	                     	                               	                             	                  	+                   	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	>0.75<1.3

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	 10	H	CC	  36.00	     93.8000	Chaisson 	Planktonic Foraminifers                      	C              	M                 	-                                    	+                                    	+                         	                         	+                           	+                          	+                   	                     	+                              	-                            	+                 	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	>0.75<1.3

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	 11	H	CC	  23.00	    103.8600	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                                    	+                                    	+                         	+                        	R                           	+                          	+                   	-                    	-                              	-                            	-                 	-                   	-                           	-                  	-                      	                     	-                    	                            	                                	                        	                          	                        	       

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	 12	H	CC	  23.00	    113.4000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                                    	-                                    	+                         	+                        	+                           	                           	+                   	                     	                               	                             	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	pyrite filled burrowsno obliquus <1.3

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	 13	H	CC	  24.00	    122.6800	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                                    	+                                    	-                         	+                        	R                           	+                          	+                   	+                    	-                              	-                            	-                 	-                   	-                           	-                  	-                      	-                    	                     	                            	                                	                        	                          	                        	pyritevery small forams

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	 14	H	CC	  21.00	    131.7600	Chaisson 	Planktonic Foraminifers                      	F              	G                 	+                                    	+                                    	+                         	+                        	+                           	+                          	+                   	+                    	                               	                             	                  	                    	                            	                   	                       	                     	                     	                            	                                	                        	                          	                        	<1.3

