Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Clavihedbergella simplex,Whiteinella archaeocretacea,Heterohelix reussi,Hedbergella delrioensis,Costellagerina pilula,Heterohelix moremani,Heterohelix globulosa,Hedbergella simplex,Hastigerinoides subdigitata,Rugotruncana subcircumnodifer,Rugoglobigerina macrocephala,Pseudoguembelina costulata,Heterohelix punctulata,Globotruncana arca,Globotruncana aegyptiaca,Globigerinelloides prairiehillensis,Contusotruncana fornicata,Rugoglobigerina rugosa,Globotruncanita stuarti,Globotruncanella petaloidea,Globotruncanella havanensis,Subbotina velascoensis,Subbotina triloculinoides,Subbotina triangularis,Morozovella velascoensis,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Acarinina soldadoensis,Acarinina nitida,Acarinina mckannai,Morozovella occlusa,Chiloguembelina wilcoxensis,Morozovella subbotinae,Igorina albeari,Morozovella gracilis,Chiloguembelina crinita,Acarinina quetra,Acarinina coalingensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  4,R,CC,  15.00,    120.6500,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,P                        ,P                     ,P                       ,                      ,P                ,P                ,P                           ,P                     ,P               ,P                 ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  5,R,CC,   8.00,    126.9700,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,                         ,P                     ,P                       ,P                     ,                 ,P                ,P                           ,P                     ,P               ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  6,R, 7,  59.00,    139.6900,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,P                        ,P                     ,P                       ,P                     ,P                ,P                ,P                           ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  7,R,CC,  19.00,    148.9800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,P                            ,                            ,                          ,                      ,P                 ,P                       ,                                   ,                         ,P                     ,P                      ,P                          ,P                          ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  8,R,CC,  16.00,    158.4800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,P                            ,P                           ,P                         ,P                     ,P                 ,P                       ,P                                  ,P                        ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  9,R,CC,  14.00,    166.3900,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                           ,                  ,                       ,                     ,                    ,P                    ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C, 12,R,CC,  20.00,    190.4000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                           ,P                 ,P                      ,                     ,                    ,P                    ,P                  ,P                          ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C, 13,R,CC,  20.00,    201.3000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                           ,                  ,                       ,                     ,P                   ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C, 14,R,CC,   0.00,    210.0300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                        ,P                          ,P                 ,P                      ,P                    ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C, 16,R,CC,  12.00,    234.7200,forams   ,Planktonic Foraminifers                      ,               ,                  ,+                       ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,                      ,                         ,                      ,                        ,                      ,                 ,                 ,                            ,                      ,                ,                  ,                   ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
