Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium inconspicuum var. trilobata,Stephanopyxis turris turris,Stephanopyxis marginata,Stephanopyxis hyalomarginata,Stephanogonia sp.,Rocella praenitida,Pterotheca aculeifera,Paralia sulcata,Melosira architecturalis,Hemiaulus sp.,Hemiaulus polycystinorum var. mesolepta,Hemiaulus polycystinorum,Hemiaulus incisus,Pyxilla reticulata,Hemiaulus polymorphus,Hemiaulus caracteristicus,Cestodiscus sp.,Actinoptychus senarius,Triceratium favus,Liostephania sp.,Hemiaulus lyriformis,Hemiaulus claviger,Cestodiscus convexus,Rocella vigilans,Rhizosolenia hebetata f. hiemalis,Hyalodiscus sp.,Gladius sp.,Craspedodiscus sp.,Xanthiopyxis ovalis,Trinacria excavata,Triceratium barbadense,Stephanopyxis grossecellulata,Hemiaulus subacutus,Grammatophora sp.,Cestodiscus novozaelandicus,Asterolampra insignis,Coscinodiscus marginatus,Cavitatus jouseanus,Rhaphoneis amphiceros,Coscinodiscus descrescens,Actinocyclus ellipticus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 27,X,CC,  24.00,    574.9600,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,                           ,                       ,                            ,                 ,                  ,                     ,               ,                        ,             ,                                       ,                        ,                 ,                  ,                     ,                         ,               ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,T                ,                           ,                     ,T                       ,F                  ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 29,X,CC,  29.00,    593.3100,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,R                          ,T                      ,                            ,                 ,R                 ,T                    ,F              ,R                       ,F            ,                                       ,F                       ,                 ,F                 ,                     ,                         ,R              ,                      ,                 ,                ,                    ,                  ,                    ,R               ,R                                ,               ,           ,                  ,T                  ,R                 ,R                     ,T                            ,T                  ,T                ,F                          ,T                    ,                        ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 30,X,CC,  15.00,    599.6400,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,R                          ,T                      ,                            ,                 ,                  ,T                    ,F              ,R                       ,F            ,T                                      ,R                       ,                 ,F                 ,                     ,                         ,R              ,                      ,                 ,                ,                    ,                  ,                    ,R               ,R                                ,T              ,T          ,T                 ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,                        ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 31,X,CC,   0.00,    611.0800,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,R                          ,                       ,                            ,                 ,T                 ,                     ,R              ,R                       ,             ,R                                      ,R                       ,                 ,F                 ,R                    ,                         ,R              ,                      ,R                ,T               ,T                   ,T                 ,T                   ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,                        ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 32,X,CC,  43.00,    619.1100,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,R                          ,                       ,                            ,                 ,T                 ,                     ,R              ,R                       ,T            ,T                                      ,R                       ,                 ,F                 ,R                    ,R                        ,R              ,R                     ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,                        ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 33,X,CC,  25.00,    625.7600,diatoms  ,Diatoms                                      ,               ,                  ,T                                      ,R                          ,R                      ,R                           ,T                ,R                 ,T                    ,R              ,R                       ,F            ,R                                      ,R                       ,T                ,                  ,                     ,                         ,               ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,                        ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
