Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Neogloboquadrina pachyderma	Globoturborotalita woodi	Globoturborotalita rubescens	Globigerinoides obliquus	Menardella miocenica	Globigerina falconensis	Globigerina bulloides	Sphaeroidinella dehiscens	Globigerinoides extremus	Globoconella inflata	Menardella menardii (sinistral)	Menardella exilis	Globigerinoides fistulosus	Hirsutella hirsuta	Truncorotalia crassaformis hessi	Globorotalia tumida	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida flexuosa	Globigerina bermudezi	Menardella menardii (dextral)	Comment	 
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	5	H	CC	19	40.52	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	F                 	                                	R                  	R                                    	R                           	                                     	                            	                     	                             	sponge spicules	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	6	H	CC	17	49.98	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	                        	R                           	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	R                 	                                	R                  	                                     	R                           	                                     	R                           	                     	                             	pyritized burrows	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	7	H	5	68	56.38	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	R                 	                                	F                  	F                                    	                            	                                     	R                           	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	7	H	6	68	57.88	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	+                 	                                	+                  	+                                    	+                           	                                     	                            	                     	                             	many large fragments no flexuosa	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	7	H	7	50	59.2	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	                        	F                           	                        	                    	F                      	                     	R                        	                        	R                   	                               	                 	                          	R                 	                                	R                  	R                                    	R                           	R                                    	R                           	                     	                             	glauconite	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	7	H	CC	34	59.69	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                           	                        	                            	r                       	                    	                       	                     	R                        	                        	R                   	                               	r                	                          	R                 	                                	F                  	F                                    	R                           	                                     	F                           	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	8	H	4	70	64.4	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                          	                        	+                           	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	8	H	CC	25	68.65	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                           	                        	R                           	                        	                    	R                      	                     	                         	                        	                    	                               	                 	                          	A                 	                                	                   	R                                    	                            	F                                    	                            	                     	                             	-sorted sediment; small forams are missing-no flexuosa	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	9	H	CC	40	78.34	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                         	F                          	                        	                            	                        	                    	R                      	                     	                         	                        	R                   	                               	                 	                          	                  	R                               	R                  	F                                    	R                           	R                                    	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	10	H	CC	57	88.07	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                           	                        	R                           	                        	                    	R                      	R                    	                         	                        	                    	1	                 	                          	                  	R                               	F                  	R                                    	                            	                                     	R                           	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	11	H	6	69	95.89	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	1	                                	                   	                                     	                            	                                     	                            	                     	                             	no forams except 1 hirsuta	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	11	H	CC	28	97.56	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	F                        	                        	                    	A                              	                 	                          	                  	R                               	F                  	                                     	R                           	F                                    	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	12	H	1	70	97.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	R                   	                               	                 	                          	                  	                                	                   	                                     	R                           	                                     	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	12	H	3	70	100.9	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	F                   	R                              	                 	                          	R                 	                                	R                  	F                                    	                            	                                     	                            	                     	R                            	ostracodes	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	12	H	4	70	102.4	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	1	                            	                     	                             	dissolved sample	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	12	H	CC	17	106.64	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	A                   	                               	                 	                          	                  	                                	R                  	                                     	                            	                                     	                            	                     	                             	sample dissolved mica 1 ostracode	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	13	H	CC	0	115.66	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	                           	                        	                            	                        	                    	                       	                     	A                        	                        	R                   	                               	                 	                          	R                 	-                               	                   	                                     	A                           	                                     	                            	                     	                             	ostracodes not hessi	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	14	H	3	70	119.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	                  	                                	                   	                                     	+                           	                                     	                            	                     	                             	no obliquus	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	14	H	4	70	121.4	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	R                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	sample almost completly dissolved only inflata left	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	14	H	5	70	122.9	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	1	                    	+                      	+                    	                         	                        	                    	                               	                 	                          	                  	                                	                   	+                                    	+                           	                                     	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	14	H	CC	14	124.16	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	                  	                                	                   	+                                    	+                           	                                     	                            	                     	                             	ostracodes	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	15	H	1	70	126.4	Chaisson 	Planktonic Foraminifers                      	A              	G                 	F                         	F                          	                        	                            	R                       	                    	                       	                     	F                        	                        	F                   	                               	                 	                          	                  	                                	                   	A                                    	                            	R                                    	                            	                     	                             	small forams	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	15	H	6	70	133.9	Chaisson 	Planktonic Foraminifers                      	A              	VG                	R                         	                           	                        	                            	                        	                    	R                      	                     	+                        	                        	F                   	+                              	                 	                          	                  	                                	F                  	R                                    	R                           	                                     	R                           	R                    	                             	       	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	15	H	7	6	134.76	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                           	                        	                            	                        	                    	                       	                     	R                        	                        	R                   	R                              	                 	                          	                  	                                	                   	                                     	R                           	                                     	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	15	H	CC	0	135.17	Chaisson 	Planktonic Foraminifers                      	A              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	+                              	                 	                          	                  	                                	F                  	+                                    	                            	                                     	                            	                     	                             	ostracodes pyrite	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	16	H	CC	35	144.55	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	+                   	                               	                 	                          	+                 	                                	                   	                                     	+                           	R                                    	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	17	H	1	70	145.4	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	R                       	                    	                       	                     	A                        	                        	R                   	                               	                 	                          	                  	                                	R                  	R                                    	R                           	                                     	                            	                     	                             	       	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	2	70	146.9	Chaisson 	Planktonic Foraminifers                      	F              	G                 	R                         	                           	                        	                            	                        	                    	                       	R                    	F                        	                        	F                   	                               	                 	                          	A                 	                                	                   	                                     	                            	                                     	                            	                     	                             	no trunc.	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	3	72	148.42	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                          	                        	                            	                        	                    	                       	                     	                         	                        	+                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	inflata is nearly the only thing left	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	4	70	149.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	+                           	+                       	                    	                       	                     	+                        	                        	                    	                               	                 	                          	+                 	                                	+                  	                                     	                            	                                     	                            	                     	                             	glauconite no inflata	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	5	70	151.4	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                          	R                       	R                           	R                       	                    	F                      	R                    	F                        	                        	+                   	                               	                 	                          	                  	R                               	                   	                                     	                            	                                     	                            	                     	                             	small five chamb. neogloboquadrinids	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	6	70	152.9	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	+                 	                                	                   	                                     	                            	                                     	                            	                     	                             	no inflata	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	17	H	CC	0	153.91	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	+                       	                    	                       	                     	                         	                        	R1                  	                               	                 	                          	+                 	                                	                   	                                     	                            	                                     	                            	                     	                             	ostracodes no truncat. inflata rare	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	18	H	1	70	154.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	pyrite around 10 forams no inflata	
																																									
  IR	                 	                 	                  	              	172	1062	A	18	H	2	70	156.4	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                          	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	                 	                 	                  	              	172	1062	A	18	H	3	70	157.9	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	+                          	+                       	+                           	+                       	                    	+                      	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no Pulleniatina and no miocenica	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	18	H	4	67	159.37	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	18	H	6	61	162.31	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	dissolved	
																																									
  IR	                 	Late Pliocene    	                  	N21           	172	1062	A	18	H	CC	0	163.4	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                           	                        	                            	                        	2	                       	                     	+                        	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	mica	
																																									
  IR	Late Pliocene    	Late Pliocene    	N20               	N21           	172	1062	A	19	H	1	70	164.4	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                           	                        	R                           	R                       	R                   	R                      	                     	                         	                        	R                   	+                              	R                	+                         	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	19	H	2	70	165.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	                            	                        	+                   	                       	                     	                         	+                       	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	19	H	3	70	167.4	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	                 	                 	                  	              	172	1062	A	19	H	4	70	168.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no marker spp	
																																									
  IR	                 	                 	                  	              	172	1062	A	19	H	5	70	170.4	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	3	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	low inflata	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	19	H	CC	0	172.66	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                           	                        	                            	                        	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	pyrite filled burrows	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	20	H	1	70	173.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	                            	+                       	+                   	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	20	H	2	70	175.4	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                           	+                       	+                           	+                       	+                   	                       	                     	+                        	+                       	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	       	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	20	H	3	70	176.9	Chaisson 	Planktonic Foraminifers                      	               	                  	F                         	                           	                        	                            	R                       	R                   	F                      	R                    	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	no altispira	
																																									
  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	A	20	H	CC	33	180.64	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                          	F                       	F                           	F                       	                    	                       	                     	                         	                        	                    	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	mica and pyrite burrows	
