Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bathysiphon spp.	Rhabdammina spp.	Recurvoides(?) sp.	Cribrostomoides? sp.	Thalmannammina cf. parkerae	Cyclammina sp. A	Proteonina(?) sp.	Proteonina sp.	Cyclammina? sp.	Ammodiscus macilentus	Cyclammina cancellata	Ammovertellina sp.	Trochammina spp.	Martinottiella nodulosa	Martinottiella communis	Haplophragmoides spp.	Haplophragmoides sp. C	Haplophragmoides sp. B	Haplophragmoides compressum	Eggerella sp. A	Cyclammina spp.	Cyclammina pusilla	Ammodiscus sp. B	Ammodiscus sp. A	Ammodiscus incertus	Schizammina sp.           	Hormosina spp.	Hippocrepinella(?) sp.	Haplophragmoides sp. H	Cyclammina japonica	Ammodiscus sp. C	Agglutinated spp. (indeterminate)	Haplophragmoides sp. A	Cribrostomoides cf. crassimargo	Ammodiscus tenuis	Valvulineria masudai	Uvigerina sp.	Spirosigmoilinella compressa	Gyroidinoides planulatus	Globocassidulina globosa	Globobulimina cf. perversa	Cibicidoides sp. A	Bulimina striata	Trochammina sp.	Reophax(?) sp.	Reophax spp.	Miliammina spp.	Chilostomella oolina	Quinqueloculina laevigata	Pullenia bulloides	Haplophragmoides cf. H. compressum	Gyroidina sp. A	Gyroidina orbicularis	Globobulimina auriculata	Eggerella bradyi	Calcareous sp. indeterminate	Oridorsalis umbonatus	Melonis pompilioides	Comment

  SR	                 	                 	                  	              	127	 797	C	  5	R	 4	  39.00	    526.8900	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	                  	                    	3.7%                       	59.8%           	                 	              	               	                     	4.9%                 	6.1%              	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	1.2%            	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	6.1%             	4.9%                	1.2%         	2.4%                        	2.4%                    	2.4%                    	1.2%                      	1.2%              	1.2%            	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 1.22%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	  6	R	 1	  56.00	    532.1600	Nomura   	Benthic Foraminifers                         	               	                  	                	+               	                  	                    	12.3%                      	42.6%           	                 	              	10.3%          	1.9%                 	3.9%                 	.7%               	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	+                         	              	                      	                      	                   	                	                                 	                      	.7%                            	3.2%             	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 24.52%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	  6	R	CC	  20.00	    538.9900	Brunner  	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	                	                 	              	               	                     	1                    	                  	                	1                      	8                      	                     	3                     	16                    	                           	               	               	3                 	1               	4               	1                  	                          	              	                      	5                     	                   	                	3                                	3                     	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	C	  7	R	CC	  22.00	    541.9100	Brunner  	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	                	                 	              	               	                     	                     	                  	1               	                       	                       	1                    	6                     	11                    	                           	               	3              	6                 	                	3               	1                  	                          	              	                      	4                     	1                  	1               	6                                	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	C	  8	R	 1	  94.00	    551.8400	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	                  	                    	.4%                        	65.8%           	                 	              	               	2.1%                 	2.5%                 	                  	                	                       	19.2%                  	                     	                      	                      	                           	               	               	                  	                	                	                   	+                         	.8%           	.4%                   	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 8.75%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	  8	R	 2	  36.00	    552.5700	Brunner  	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	                	                 	              	               	                     	1                    	                  	1               	1                      	6                      	8                    	2                     	8                     	5                          	2              	1              	5                 	2               	3               	2                  	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	C	 11	R	 1	  42.00	    579.9200	Nomura   	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	63.2%           	                 	              	               	                     	2.6%                 	6.6%              	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 27.63%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 18	R	 1	 130.00	    647.8000	Nomura   	Benthic Foraminifers                         	               	                  	+               	                	                  	                    	16.1%                      	                	3.2%             	3.2%          	12.9%          	3.2%                 	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 61.29%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 22	R	 5	 146.00	    692.5600	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	                  	7.1%                	7.1%                       	10.7%           	                 	              	               	                     	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 75%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 23	R	 2	  14.00	    696.2400	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	50.0%             	50.0%               	                           	                	                 	              	               	                     	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 25	R	 4	  85.00	    718.9500	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	20.0%             	                    	                           	                	                 	              	               	                     	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 80%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 34	R	 6	 146.00	    799.6900	Nomura   	Benthic Foraminifers                         	               	                  	+               	                	                  	                    	                           	                	                 	              	               	                     	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	 41	R	CC	  30.00	    856.1400	Nomura   	Benthic Foraminifers                         	               	                  	+               	                	                  	                    	                           	                	                 	              	               	                     	                     	                  	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

