Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Paragloborotalia pseudokugleri,Paragloborotalia nana,Paragloborotalia mayeri,Paragloborotalia kugleri,Neogloboquadrina continuosa,Globorotaloides suteri,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinita uvula,Globigerinita glutinata,Globigerina woodi,Globigerina sellii,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Streptochilus spp.,Tenuitella munda,Globigerina tripartita,Globigerina praebulloides,Globigerina euapertura,Globoquadrina dehiscens,Globoquadrina cf. G. extans,Globigerinoides trilobus,Globigerinoides primordius,Globigerinella obesa,Globigerina connecta,Dentoglobigerina altispira,Tenuitella clemenciae,Globorotalia peripheroronda,Globorotalia birnageae,Globigerinoides parawoodi,Globigerinoides altiapertura,Globigerinoides subquadratus,Globoquadrina binaiensis,Globigerinoides sacculifer,Globigerinoides obliquus,Globigerina quinqueloba,Globorotalia praescitula,Catapsydrax parvulus,Turborotalita humilis,Sphaeroidinella disjuncta,Globigerinatella insueta,Globigerina druryi,Globigerinoides diminutus,Globigerinoides sicana/bisphericus,Praeorbulina sicana,Globorotaloides hexagona,Globigerina bulloides,Globorotalia cf. Gr. zealandica,Globorotalia cf. Gr. miozea,Globorotalia archeomenardii,Globigerinoides bollii,Globorotalia praemenardii,Sphaeroidinellopsis seminulina,Globorotalia peripheroacuta,Globorotaloides variabilis,Orbulina universa,Globorotalia praefohsi,Orbulina suturalis,Globorotalia lenguaensis,Globorotalia fohsi fohsi,Sphaeroidinellopsis kochi,Globorotalia menardii,Globorotalia scitula,Globigerina decoraperta,Globorotalia challengeri,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina apertura,Globigerinella aequilateralis,Neogloboquadrina acostaensis,Globorotalia merotumida,Neogloboquadrina humerosa,Sphaeroidinellopsis paenedehiscens,Globorotalia limbata,Globigerinoides ruber,Globigerinoides extremus,Globorotalia juanai,Candeina nitida,Globorotalia cibaoensis,Globorotalia plesiotumida,Neogloboquadrina dutertrei,Globorotalia pseudomiocenica,Globorotalia pertenuis,Globorotalia anfracta,Globorotalia multicamerata,Pulleniatina primalis,Globigerinoides conglobatus,Globorotalia crassula,Globoquadrina conglomerata,Pulleniatina praespectabilis,Globorotalia tumida,Globorotalia margaritae,Beella praedigitata,Globorotalia inflata,Pulleniatina spectabilis,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Globorotalia ungulata,Globigerinella calida,Globorotalia crassaformis,Globigerinoides fistulosus,Globigerina rubescens,Globorotalia tosaensis,Globorotalia truncatulinoides,Beella digitata,Globorotalia bermudezi,Globigerinoides tenellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  1,H, 5,  12.00,      6.1200,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,C                      ,                 ,                  ,                    ,                      ,                          ,                  ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,R                      ,                        ,                    ,F                    ,                         ,                        ,                  ,                         ,                                  ,                   ,R                       ,F                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,?                         ,R                ,                      ,R                 ,                        ,                        ,                         ,F                    ,                    ,                       ,                        ,                          ,                     ,                    ,C                            ,                            ,                       ,                         ,                                  ,                    ,C                    ,                        ,                   ,               ,                       ,                         ,F                         ,                            ,                      ,R                    ,                          ,                     ,F                          ,                     ,C                         ,                            ,C                  ,                       ,                   ,                    ,                        ,C                           ,                         ,R                    ,R                    ,F                        ,                          ,F                    ,                      ,                             ,               ,                      ,R                       ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  1,H,CC,  19.00,      6.5100,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,C                      ,                 ,                  ,                    ,                      ,                          ,0                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,F                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,F                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,R                ,                      ,                  ,                        ,                        ,                         ,C                    ,                    ,                       ,                        ,                          ,                     ,                    ,F                            ,                            ,                       ,                         ,                                  ,                    ,C                    ,                        ,                   ,               ,                       ,                         ,R                         ,                            ,                      ,R                    ,                          ,                     ,R                          ,                     ,F                         ,                            ,C                  ,                       ,                   ,                    ,                        ,C                           ,                         ,R                    ,                     ,R                        ,                          ,F                    ,                      ,                             ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  2,H, 2,  44.00,      8.4400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,0                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 1802.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  2,H, 2,  51.00,      8.5100,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,C                      ,                 ,                  ,                    ,                      ,                          ,                  ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,F                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,R                ,                      ,                  ,                        ,                        ,                         ,F                    ,                    ,                       ,                        ,                          ,                     ,                    ,F                            ,                            ,                       ,                         ,                                  ,                    ,C                    ,                        ,                   ,               ,                       ,                         ,F                         ,                            ,                      ,R                    ,                          ,                     ,F                          ,                     ,R                         ,                            ,R                  ,                       ,                   ,                    ,                        ,C                           ,R                        ,                     ,R                    ,                         ,                          ,F                    ,                      ,R                            ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  2,H, 4,  44.00,     11.4400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,21                ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 567.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  2,H, 5,  52.00,     13.0200,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,F                      ,                 ,                  ,                    ,                      ,                          ,R                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,R                    ,                         ,                        ,                  ,                         ,                                  ,                   ,R                       ,R                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,R                ,                      ,                  ,                        ,                        ,                         ,F                    ,R                   ,                       ,                        ,                          ,                     ,                    ,F                            ,                            ,                       ,                         ,                                  ,                    ,R                    ,                        ,                   ,               ,                       ,                         ,F                         ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,C                         ,                            ,F                  ,                       ,                   ,                    ,                        ,C                           ,                         ,R                    ,                     ,                         ,                          ,R                    ,                      ,R                            ,R              ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  2,H,CC,  11.00,     16.3100,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,R                  ,R                      ,                 ,                  ,                    ,                      ,                          ,1                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,R                   ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,R                       ,F                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,?                         ,C                ,                      ,R                 ,                        ,                        ,                         ,C                    ,R                   ,                       ,                        ,                          ,                     ,                    ,C                            ,                            ,                       ,                         ,                                  ,                    ,C                    ,                        ,                   ,               ,                       ,                         ,C                         ,                            ,                      ,                     ,                          ,                     ,C                          ,                     ,C                         ,                            ,C                  ,                       ,                   ,                    ,                        ,C                           ,R                        ,R                    ,R                    ,R                        ,                          ,F                    ,R                     ,C                            ,               ,                      ,                        ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  3,H, 2,  22.00,     17.7200,Chaisson ,Planktonic Foraminifers                      ,               ,G                 ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,C                      ,                 ,                  ,                    ,                      ,                          ,                  ,                ,                      ,                         ,                      ,                       ,                           ,R                       ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,R                    ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,R                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,R                ,                      ,R                 ,                        ,                        ,                         ,C                    ,R                   ,                       ,                        ,                          ,                     ,                    ,C                            ,                            ,                       ,                         ,                                  ,                    ,C                    ,                        ,                   ,R              ,                       ,                         ,C                         ,                            ,                      ,                     ,                          ,                     ,F                          ,                     ,C                         ,                            ,F                  ,                       ,                   ,R                   ,                        ,C                           ,F                        ,F                    ,R                    ,R                        ,                          ,R                    ,R                     ,C                            ,               ,                      ,R                       ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  3,H, 2,  44.00,     17.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,5                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 1891.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  3,H, 4,  44.00,     20.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,1                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 846.from 130SR.Chapter 12.Table 1.pages 236-237.
